gene,interaction_type,score,drug_name
MDM2,NULL,1.312691781,MILADEMETAN
ESR1,NULL,0.020029629,PALBOCICLIB
TERT,NULL,0.480070137,ERIBULIN MESYLATE
EGFR,NULL,0.007123548,GW843682X
ALK,NULL,2.08001403,CERITINIB
FEN1,NULL,0.124425761,SRT-1720
SMN2,NULL,0.136738727,4-BENZYLOXYANILINE
ALK,inhibitor,1.826353782,X-396
CYP3A4,NULL,0.029366707,UMIFENOVIR
CTRB1,inhibitor,0.625091324,Y27632
CCR3,antibody,5.834185693,DALUTRAFUSP ALFA
SLC10A2,inhibitor,4.039051634,ELOBIXIBAT
FGFR3,inhibitor,0.154759452,NINTEDANIB ESYLATE
VWF,NULL,0.345445205,PHENYLEPHRINE
MAPK12,NULL,0.108040476,PEXMETINIB
NR3C1,agonist,0.200410959,METHYLPREDNISOLONE SODIUM SUCCINATE
HMGCR,inhibitor,0.972364282,FLUVASTATIN
TUBA1B,inhibitor,0.077077657,PACLITAXEL
CACNA1H,modulator,0.046965717,PREGABALIN
AGTR1,inhibitor,1.779921059,TASOSARTAN
ANGPT2,inhibitor,0.875127854,FARICIMAB
HRAS,NULL,0.059219178,EVEROLIMUS
ERBB2,NULL,0.616866438,NERATINIB
MRPL36,inhibitor,0.386085818,CLINDAMYCIN HYDROCHLORIDE
ATXN2,NULL,0.009662803,TYRPHOSTIN A9
CYP1A2,NULL,0.002270406,DESIPRAMINE
ADRA1D,inhibitor,0.115401475,SERTINDOLE
COX8A,NULL,0.795570776,NEPAFENAC
ESR1,NULL,0.204469125,FULVESTRANT
ADRA1A,inhibitor,0.054695491,PRAZOSIN HYDROCHLORIDE
CFTR,NULL,8.353493151,LUMACAFTOR
CD4,negative modulator,3.281729452,PRILIXIMAB
USP1,NULL,0.036413087,SOFALCONE
CHKA,NULL,0.610554317,DEXAMETHASONE
GABRG1,agonist,0.035430277,PADSEVONIL
SLC25A6,modulator,0.535792564,AZD6538
APLP1,agonist,5.834185693,LV-2172
NCSTN,modulator,0.397785388,TARENFLURBIL
CYP1A2,NULL,0.007378818,CHELERYTHRINE
IL6,NULL,0.040437175,"INSULIN, REGULAR, HUMAN"
VDR,agonist,0.055740628,2MD
MAPT,NULL,0.039688338,"2,3-DIHYDROXY-4-METHOXY-4'-ETHOXYBENZOPHENONE"
PLCG2,NULL,4.773424658,IBRUTINIB
ITGB5,NULL,7.876150685,CILENGITIDE
ABL2,inhibitor,0.144251844,WB 4101
RND3,activator,0.380490371,ALPROSTADIL
CXCL12,NULL,1.312691781,CHLORAMBUCIL
GATA3,NULL,0.06823609,CYTARABINE
GABRE,NULL,0.035430277,ADIPIPLON
SOD2,NULL,0.514781091,ANTIBIOTIC
ADRB2,NULL,0.407036211,VILANTEROL
TUBA1B,NULL,0.077077657,PACLITAXEL
POLK,NULL,0.067059606,"2,3-DIHYDROXY-4-METHOXY-4'-ETHOXYBENZOPHENONE"
FYN,NULL,0.015036561,CYC-116
HIPK4,NULL,0.085378327,BAY 61-3606
ADRA2A,NULL,0.215489759,YOHIMBINE
CHRM1,inhibitor,0.111718449,PROPANTHELINE BROMIDE
YWHAE,NULL,1.981421556,"INSULIN, REGULAR, HUMAN"
AZF1,activator,4.37563927,R-L3
CXCR4,NULL,0.014484875,CISPLATIN
HTR2B,NULL,0.437563927,CHLORPROTHIXENE
CD8B2,inhibitor,1.381780822,COMPOUND 58 [PMID: 25037917]
NATP,inhibitor,0.030688294,THIORIDAZINE
AADAC,agonist,0.504881454,(-)-YM796
BBS1,inhibitor,0.65634589,GNE-131
ABCC6,inhibitor,0.218781963,TOLVAPTAN
TAC1,NULL,0.190590458,HUMAN CHORIONIC GONADOTROPIN
POLK,NULL,0.007737647,APIGENIN
HTR1A,agonist,0.709563125,BEFIRADOL
RPL35,inhibitor,0.129648571,MT-3724
KCNH2,NULL,0.149594505,LOBELINE HYDROCHLORIDE
ALOX15,NULL,0.061412481,NONIVAMIDE
A12M3,inhibitor,0.029766254,NEFAZODONE
CDK20,inhibitor,0.625091324,AT-7519
GABRR2,NULL,0.201952582,HALAZEPAM
GABRA2,positive modulator,0.03394161,GLUTETHIMIDE
MRPL36,inhibitor,0.386085818,CETHROMYCIN
GABRE,NULL,0.091796628,CLOBAZAM
GCNT1,inhibitor,3.500511416,PINOMETOSTAT
AQP3,inhibitor,0.546954909,ROLAPITANT
DRD2,inhibitor,0.009433646,AXITINIB
BRAF,NULL,0.233256353,SELUMETINIB
EHMT2,NULL,0.007658645,ENCLOMIPHENE CITRATE
MAOA,NULL,1.346350545,CHEMBL:CHEMBL1642672
OPRK1,inhibitor,0.493029777,NALTREXONE HYDROCHLORIDE
NFKB1,NULL,0.036847489,CHEMBL:CHEMBL84010
ADRB2,NULL,0.203518106,OT-730
BRAF,NULL,0.078545507,NVP-TAE 226
LPAR1,inhibitor,26.25383562,BMS-986020
KCNH2,NULL,0.149594505,CHEMBL:CHEMBL590914
PDGFRB,NULL,0.096264064,IMATINIB
GUCA2A,NULL,8.751278539,LACTOSE
HTR1D,NULL,0.367186512,ERGOTAMINE
ABCC1,NULL,0.122968785,AZITHROMYCIN
A12M4,agonist,0.050246575,METHYLERGONOVINE
KCNQ1,NULL,1.432027397,INDAPAMIDE
TRDMT1,inhibitor,1.750255708,COMPOUND 13R [PMID: 23639540]
BRAF,NULL,0.549818547,RG-7256
APAF1,inhibitor,0.092933931,NOR-BINALTORPHIMINE
GLP1R,agonist,0.954684932,LIRAGLUTIDE
RPS10,inhibitor,0.129648571,MT-3724
DNER,NULL,0.673175272,MOLIBRESIB
ABCA2,inhibitor,0.681917808,AS95
SLCO1B3,NULL,0.095468493,CARBOPLATIN
HSP90B2P,NULL,52.50767124,ARIMOCLOMOL
ARSL,blocker,1.141471114,PICROTOXIN
ADRA1B,inhibitor,0.126830124,TERAZOSIN HYDROCHLORIDE
SCN10A,NULL,0.172722603,CONATUMUMAB
ELAVL2,inhibitor,1.500219178,COMPOUND 17 [PMID: 23642479]
BNIP3,agonist,2.917092846,ANDROGRAPHOLIDE
BARD1,activator,1.193356164,VERATRIDINE
AR,NULL,0.058471794,ALLISAN
MET,NULL,0.184237443,FORETINIB
TYRO3,NULL,0.039960176,TOZASERTIB
MAPK11,NULL,0.795570776,CHEMBL:CHEMBL8483
TGM2,NULL,0.018570352,CISPLATIN
MMP2,NULL,0.448783515,RAMIPRIL
HRH1,NULL,0.032572997,HISTAMINE
A1BG,agonist,0.452652338,(R)-UH 301
GATM,antibody,3.750547945,GLOFITAMAB
BTNL1,inhibitor,5.250767124,HG2+
TUBB6,NULL,0.044161204,LARGAZOLE
DLL4,NULL,31.50460274,DEMCIZUMAB
ESR1,NULL,0.003384317,CISPLATIN
TNIK,NULL,0.391848293,RISPERIDONE
PSMA2,NULL,0.583418569,CARFILZOMIB
NR3C2,agonist,1.381780822,FLUDROCORTISONE ACETATE
ITGA2B,inhibitor,3.500511416,EPTIFIBATIDE
PRKACA,NULL,0.090530468,FASUDIL
TOP2A,NULL,0.905304676,CHEMBL:CHEMBL594257
DDIT3,NULL,0.610554317,PHENETHYL ISOTHIOCYANATE
SLC6A4,NULL,0.132595129,MINAPRINE
SLC23A1,NULL,2.019525817,ASCORBIC ACID
CHRM4,NULL,0.324121427,METHACHOLINE CHLORIDE
PTEN,NULL,0.101366161,E6201
NFE2L2,NULL,0.01049314,"PYRROLIDINE DITHIOCARBAMIC ACID, AMMONIUM SALT"
GRIA1,NULL,0.08914715,PHENOBARBITAL
IMPDH2,inhibitor,2.625383562,MYCOPHENOLATE
CYP3A4,NULL,0.008390488,AM404
NMUR2,agonist,2.917092846,CPN-219
HCN4,blocker,17.50255708,IVABRADINE HYDROCHLORIDE
AR,agonist,0.116943588,METHANDROSTENOLONE
CYP2C19,NULL,0.015498132,PSORA-4
EHMT2,NULL,0.005569924,CGS 15943
TNF,NULL,1.129197231,OZORALIZUMAB
CYP3A4,NULL,0.00903591,QUININE
ADRA1D,NULL,0.269270109,DOXAZOSIN MESYLATE
ABCC6,inhibitor,0.291709285,"[PHAA1,D-TYR(ET)2,VAL4,LYS6,TYR-NH28,DES-GLY9]AVP"
SYK,NULL,0.015466177,CYC-116
KCNJ11,potentiator,0.696388213,DIAZOXIDE
RPSA,inhibitor,0.100014612,AMIKACIN
CHRNB2,modulator,1.458546423,ABT-560
DHCR24,inhibitor,3.281729452,TRIPARANOL
USP2,NULL,0.053145416,SURAMIN
BLM,NULL,0.039214094,CHEMBL:CHEMBL211670
EHMT2,NULL,0.020423054,CHEMBL:CHEMBL547304
APOB,NULL,0.023482858,DEXAMETHASONE
VDR,NULL,0.055740628,THYMOL IODIDE
OSM,NULL,2.187819635,TNF-ALPHA
MET,NULL,0.184237443,FORETINIB
HSD17B10,NULL,0.012713722,MANGOSTIN
AR,NULL,0.007308974,DANAZOL
A1BG,inhibitor,0.452652338,(-)-TERTATOLOL
ERBB2,NULL,0.069089041,CHLORAMBUCIL
YES1,NULL,0.004589831,CEDIRANIB
GRIK2,NULL,0.456588446,BUTABARBITAL
CYP3A4,NULL,0.014683353,CHEMBL:CHEMBL585045
HSD3B1,NULL,8.751278539,TRILOSTANE
CYP2C9,NULL,0.00675253,KAEMPHEROL
FOS,inhibitor,0.700102283,ODANACATIB
ABR,agonist,0.504881454,BI-167107
DHFR,inhibitor,0.546954909,TRIMETREXATE
GABRA5,positive modulator,0.03729238,PAGOCLONE
KEAP1,NULL,0.095468493,SAPANISERTIB
IFNL3,NULL,6.300920548,LEDIPASVIR
GPC3,inhibitor,10.50153425,CODRITUZUMAB
CXCL8,NULL,0.117862337,PAMIDRONATE
HSP90AA1,NULL,0.090530468,CHEMBL:CHEMBL582983
PIK3R5,inhibitor,0.136383562,PAXALISIB
ABCA2,inhibitor,0.340958904,BW-A1433
SFTPA1,NULL,0.205108091,HEPARIN
AVPR1A,NULL,1.712206671,CONIVAPTAN
AGTR1,NULL,1.779921059,TASOSARTAN
DCR,inhibitor,0.233367428,MARIMASTAT
GLP1R,NULL,0.159114155,CHEMBL:CHEMBL1520282
PPARG,modulator,0.210030685,ARHALOFENATE
GBA1,NULL,0.187527397,GW405833
PIK3CA,NULL,0.010213911,FLUOROURACIL
CAV1,NULL,0.332327033,DEHYDRATED ALCOHOL
ADM,NULL,0.525076712,"PAROXETINE HYDROCHLORIDE, HEMIHYDRATE"
TSHR,NULL,0.139648062,LY-255283
SIRT3,inhibitor,0.397785388,PANOBINOSTAT
BDNF,NULL,0.065675636,GEMFIBROZIL
PTAFR,NULL,0.673175272,TICLOPIDINE
GHSR,NULL,8.751278539,ULIMORELIN HYDROCHLORIDE
MUC1,NULL,4.37563927,SAR-566658
IDH1,NULL,0.025676123,CHEMBL:CHEMBL1998001
NQO1,NULL,2.019525817,CHEMBL:CHEMBL1287895
PARP2,inhibitor,1.093909817,2X-121
IDH1,NULL,0.012838061,TANNIC ACID
HPGD,NULL,0.035287413,TRICLOSAN
EHMT2,NULL,0.030634581,CHEMBL:CHEMBL582737
DHFR,inhibitor,0.190457513,METHOTREXATE
EHMT2,NULL,0.030634581,CHEMBL:CHEMBL600298
ADRB2,NULL,0.015655239,ANTIDEPRESSANT AGENT
H2AZ1,inhibitor,13.12691781,ERW1041E
IL13,inhibitor,8.751278539,LEBRIKIZUMAB
NOS2,NULL,0.072775705,"IBUPROFEN, SODIUM SALT"
G6PD,NULL,0.187527397,SULFAMETHOXAZOLE
CACNG7,blocker,0.224391757,SULOCTIDIL
SSTR5,NULL,0.729273212,OCTREOTIDE ACETATE
FLT4,NULL,0.056826484,CEDIRANIB
TUBB4B,NULL,0.03124062,VINCRISTINE
CTSC,NULL,3.000438356,PENTOSAN POLYSULFATE
CYP3A5,NULL,0.583418569,VARDENAFIL
DPH1,inhibitor,0.690890411,BMS-536924
ADGRL3,NULL,0.285367778,NICOTINE POLACRILEX
CDKN2A,NULL,0.744035827,ABEMACICLIB
MTOR,inhibitor,0.105649238,VISTUSERTIB
IDH1,NULL,0.042793538,GITOXIN
FMO3,NULL,3.500511416,ITOPRIDE
ABCA3,inhibitor,0.541316198,MRS1505
KLF5,blocker,6.563458904,5-HYDROXYMETHYL-2-FURFURAL
DXO,inhibitor,0.008475815,ERLOTINIB
FRA5D,inhibitor,8.751278539,COMPOUND 9 [PMID: 3514912]
CBLN1,inhibitor,2.917092846,THREO-3-METHYLGLUTAMATE
CASP7,NULL,0.128695273,BITHIONOL
ADCYAP1,NULL,1.093909817,PROPRANOLOL HYDROCHLORIDE
NRAS,NULL,0.010586224,AZACITIDINE
CYP2C9,NULL,0.024309107,CHEMBL:CHEMBL258465
KRAS,NULL,0.060772768,COBIMETINIB
EHMT2,NULL,0.030634581,ERGOCRISTINE
APOF,agonist,0.577007376,PZM21
DRD3,NULL,0.055563673,APOMORPHINE
A12M1,agonist,0.036038209,ZIPRASIDONE
CSTF3,inhibitor,0.921187215,PIFUSERTIB
DPYS,inhibitor,0.007596596,PF-562271
RRM1,NULL,0.028598949,PACLITAXEL
GRIN2C,inhibitor,0.169379585,L689560
GABRQ,positive modulator,0.035478156,BUTALBITAL
BCL2,NULL,0.055681518,ERYTHROMYCIN
SLC29A1,inhibitor,0.059330702,LADUVIGLUSIB
CYP3A4,NULL,0.014683353,6-O-BENZYLGUANINE
DRD2,agonist,0.415080405,QUINAGOLIDE
F2R,inhibitor,2.019525817,"N-(5-{4-CHLORO-3-[(2-HYDROXYETHYL)SULFAMOYL]PHENYL}-4-METHYL-1,3-THIAZOL-2-YL)ACETAMIDE"
HSP90AA1,NULL,0.12070729,CHEMBL:CHEMBL1256761
EHMT2,NULL,0.030634581,THYMOL IODIDE
GABRQ,NULL,0.064505739,TRIAZOLAM
GRIN1,negative modulator,0.15308359,ESKETAMINE
RPSA,inhibitor,0.350051142,CHLORAMPHENICOL SODIUM SUCCINATE
GRIN3A,inhibitor,0.258658479,AV-101
GAPDH,NULL,0.673175272,CHEMBL:CHEMBL502775
RACGAP1,NULL,0.187527397,CHEMBL:CHEMBL526776
TERT,NULL,3.000438356,CHEMBL:CHEMBL481161
TUBB8,modulator,0.042689164,DAVUNETIDE
CDKN2A,NULL,0.112195879,LETROZOLE
JAK1,NULL,0.193576668,PEMBROLIZUMAB
MAOB,NULL,1.41912625,CHEMBL:CHEMBL1927670
EEF1D,inhibitor,0.182318303,KW-2449
IL23A,inhibitor,4.37563927,BRIAKINUMAB
HSP90AB1,NULL,0.08780547,ZEARALENONE
TOP1,NULL,0.875127854,AESCULIOSIDE IIA
C4BPAP2,inhibitor,0.546954909,CARBENOXOLONE
CHRM5,NULL,0.257390545,BENZQUINAMIDE
ITGA2B,inhibitor,2.187819635,ZALUNFIBAN
FRA1L,inhibitor,17.50255708,NTE-1
CDKN2A,NULL,0.744035827,ABEMACICLIB
CBX1,NULL,0.034912015,SB 242084
FANCC,NULL,0.500073059,MELPHALAN
GMNN,NULL,0.021878196,N-ETHYLMALEIMIDE
EYA4,NULL,0.673175272,ETANERCEPT-SZZS
NFE2L2,NULL,0.003934927,ETHACRYNIC ACID
FEN1,NULL,0.027650169,CHEMBL:CHEMBL68096
SIRT1,NULL,0.905304676,SRT2104
KCNN2,NULL,3.281729452,DEQUALINIUM
KDM4A,NULL,0.00410569,THIORIDAZINE
GABRD,NULL,0.075768645,GANAXOLONE
ALOX15,NULL,0.038382801,SILVER SULFADIAZINE
ALDH2,inhibitor,0.054355767,SERTINDOLE
RAB9A,NULL,0.072927321,CHEMBL:CHEMBL1389794
EFR3A,NULL,0.372394831,ASPIRIN
WBP2NL,NULL,1.093909817,TRAMADOL
MITF,NULL,0.110078975,CHEMBL:CHEMBL125044
MSTN,inhibitor,0.115148402,DACINOSTAT
EGFR,NULL,0.030868707,EPIDERMAL GROWTH FACTOR RECEPTOR TYROSINE KINASE INHIBITOR
CACNB1,blocker,0.144251844,PHLOROGLUCINOL
HSP90AA1,NULL,0.003811809,CYCLOHEXIMIDE
GNRHR,agonist,0.795570776,ALARELIN
KDM4C,NULL,0.546954909,CHEMBL:CHEMBL1526167
HSPB1,NULL,0.162060714,GUGGULSTERONE
P2RY12,inhibitor,1.640864726,TICLOPIDINE HYDROCHLORIDE
ABL1,inhibitor,0.637458239,NILOTINIB
BBS4,inhibitor,1.500219178,AM-6120
AR,NULL,0.058471794,ORBIFLOXACIN
STAT3,NULL,0.583418569,CHEMBL:CHEMBL530664
CTAA1,inhibitor,1.050153425,G&OUML; 6983
A2MP1,agonist,0.036770078,XANOMELINE
GRIA3,NULL,0.312545662,SELURAMPANEL
AQP8,agonist,0.160084364,MISOPROSTOL
CYP2D6,NULL,0.022136455,E4031
NFE2L2,NULL,0.00899412,CHEMBL:CHEMBL578675
HTR3D,NULL,1.500219178,PUMOSETRAG
BRCA1,NULL,0.088866948,OLAPARIB
CHRM2,NULL,0.263196347,DOXACURIUM CHLORIDE
CCR2,NULL,4.565884455,PLOZALIZUMAB
DPYD,NULL,0.330236926,URACIL
MAPT,NULL,0.004579424,RESERPINE
PRKD2,NULL,0.037666909,BAY 61-3606
PIK3C2A,inhibitor,0.063034419,DACTOLISIB
IDH1,NULL,0.014264513,MICHLER'S KETONE
SFTPA1,NULL,0.328172945,TRICHOSTATIN A
APOE,NULL,0.072424374,LORAZEPAM
DPEP1,NULL,17.50255708,CILASTATIN
ABL2,inhibitor,0.037398626,APOMORPHINE
CACNA1C,NULL,0.297915865,AMLODIPINE BESYLATE
GABRE,positive modulator,0.042073455,METHOHEXITAL SODIUM
FEN1,NULL,0.035550217,CHEMBL:CHEMBL1287983
RXRG,modulator,0.795570776,MOFAROTENE
SMN2,NULL,0.136738727,2-(2'-METHOXYPHENYL)-1H-INDOLE
ACACA,agonist,2.282942228,CASOXIN C
HDAC8,NULL,0.081597003,PANOBINOSTAT
MITF,NULL,0.495355389,CHEMBL:CHEMBL1478462
IDH1,NULL,0.025676123,CHEMBL:CHEMBL515617
F5,inhibitor,0.098328972,AZD8835
DRD3,NULL,0.107158513,METHOTRIMEPRAZINE
IDH2,NULL,2.187819635,IVOSIDENIB
DRD2,NULL,0.014977128,CLOZAPINE
INSR,NULL,0.08334551,CERITINIB
SLC6A2,inhibitor,0.025827679,ORPHENADRINE HYDROCHLORIDE
GABRG2,positive modulator,0.01689436,SEVOFLURANE
RELA,NULL,0.165118463,VORICONAZOLE
KCNH2,NULL,0.035617739,SERTINDOLE
TUBB2B,inhibitor,0.042689164,LEXIBULIN
CCL21,NULL,1.093909817,ANGIOGENESIS INHIBITOR
GFAP,NULL,0.071439008,PENTOXIFYLLINE
PDE4A,NULL,0.596678082,ROFLUMILAST
SLC26A2,NULL,3.750547945,PROTEIN S
CSF1R,inhibitor,0.318228311,PEXIDARTINIB HYDROCHLORIDE
GABRR2,NULL,0.192335792,CHLORDIAZEPOXIDE
FGFR2,NULL,0.610554317,S-49076
PTK2B,NULL,0.06714536,MASITINIB
ATAD5,NULL,0.005235062,DIGOXIN
AURKC,NULL,1.312691781,DANUSERTIB
NATP,agonist,0.889960529,E6801
HPGD,NULL,0.030246354,"5,7-DICHLOROKYNURENIC ACID"
AR,NULL,0.058471794,MESTANOLONE
FEN1,NULL,0.024885152,CHEMBL:CHEMBL1341830
RAPGEF3,NULL,0.033148782,IDARUBICIN
GABRG3,NULL,0.05814803,FLURAZEPAM
OPRM1,NULL,0.963443509,CHEMBL:CHEMBL255300
CD40LG,NULL,3.621218706,ANTI-CD40 MONOCLONAL ANTIBODY CHI LOB 7/4
TFAP2A,NULL,2.917092846,NELFINAVIR
FAM178B,NULL,2.500365297,LITHIUM
IL2RG,NULL,1.750255708,RECOMBINANT INTERLEUKIN-2
FSHR,NULL,18.37768493,UROFOLLITROPIN
OPRD1,NULL,0.291709285,SUFENTANIL
ADRB1,NULL,0.596678082,PROTOKYLOL HYDROCHLORIDE
ARSA,NULL,0.729273212,DECAMETHONIUM
ABCA3,inhibitor,0.270658099,MRS1041
BIRC5,NULL,0.054243462,MYCOPHENOLATE
AOC1,agonist,0.397785388,XYLAZINE
ALB,agonist,0.596678082,[125I]SAUVAGINE (FROG)
G6PD,NULL,0.065634589,MEPIVACAINE HYDROCHLORIDE
GABRD,positive modulator,0.042619863,ETHCHLORVYNOL
ABCA4,inhibitor,0.099446347,CYPROHEPTADINE HYDROCHLORIDE
RECQL,NULL,0.015882538,GENTIAN VIOLET CATION
PIK3CG,NULL,0.100976291,PHENYLEPHRINE
CYP2C19,NULL,0.011419676,BUSULFAN
AR,NULL,0.006496866,GUGGULSTERONE
CYP27A1,NULL,0.423448962,RETINOIC ACID AGENT
GDNF,NULL,0.15534814,ANTIDEPRESSANT AGENT
GABRQ,positive modulator,0.032252869,PRAZEPAM
PDE4A,inhibitor,0.119335616,THEOPHYLLINE SODIUM GLYCINATE
DRD2,inhibitor,0.088945801,SULPIRIDE
POLH,NULL,0.101759053,SULOCHRIN
NFKB1,NULL,0.276356164,PARTHENOLIDE
ADCYAP1R1,NULL,0.625091324,RECOMBINANT MONOCYTE CHEMOATTRACTANT PROTEIN-1
TSPO,NULL,4.145342466,CHLORMEZANONE
MUC16,NULL,0.115401475,TAMOXIFEN
ABCA1,agonist,0.168293818,N(6)-CYCLOHEXYLADENOSINE
CA9,NULL,0.111956655,CELECOXIB
SCN7A,blocker,0.057574201,DRONEDARONE HYDROCHLORIDE
HPGD,NULL,0.10586224,ALTANSERIN
PDE4A,NULL,0.397785388,HT-0712
CPT1B,inhibitor,1.544343272,FR122047
MAP2K1,NULL,0.473554034,SELUMETINIB
GABRA2,positive modulator,0.027476542,BREXANOLONE
ZNF816,NULL,0.846897923,INFLIXIMAB-DYYB
TBXAS1,NULL,0.093098708,ASPIRIN
ADRA1D,NULL,0.323124131,PERICIAZINE
ALK,NULL,2.212697851,CRIZOTINIB
MAPK10,NULL,0.134635054,PROTEASOME INHIBITOR
FMO2,inhibitor,8.751278539,COMPOUND 9 [PMID: 3514912]
TYK2,NULL,0.019695301,GO-6976
AQP3,inhibitor,1.093909817,R116031
KDR,inhibitor,0.085332077,ORANTINIB
KEAP1,NULL,0.052948912,FLUOROURACIL
SENP8,NULL,0.238671233,CHEMBL:CHEMBL312032
CYP1A2,NULL,0.006811217,E324
PPARD,NULL,0.030368809,NITROXOLINE
RXRA,NULL,0.700102283,DIMETHYLFORMAMIDE
MGMT,NULL,3.182283105,TRIAZENE COMPOUND
CYP3A4,NULL,0.004517955,OXYPHENBUTAZONE
HPGD,NULL,0.042344896,AMBUNOL
PIK3R5,inhibitor,0.088248187,PF-04691502
ABCB1,NULL,0.029918901,ANTICONVULSANT AGENT
STRBP,NULL,2.282942228,METHYLPHENIDATE HYDROCHLORIDE
PIK3C3,inhibitor,0.205108091,VOXTALISIB
FGFR2,NULL,0.407036211,INAVOLISIB
ANK3,agonist,0.583418569,GR 196429
CYP3A4,NULL,0.007341677,BITHIONOLATE SODIUM
